"ID","Title","Viewed","URL"
40835,"Kings' Viking","Chapter 96","https://www.manganato.gg/manga/kings-viking/chapter-96"
34437,"The Only Necromancer","Chapter 119","https://www.manganato.gg/manga/the-only-necromancer/chapter-119"
37967,"Nengan No Akuyaku Reijou","Chapter 40","https://www.manganato.gg/manga/nengan-no-akuyaku-reijou/chapter-40"
28946,"Dungeon Athlete","Chapter 18","https://www.manganato.gg/manga/dungeon-athlete/chapter-18"
7130,"Best Teacher Baek","Chapter 84","https://www.manganato.gg/manga/best-teacher-baek/chapter-84"
29631,"The Archvillain's Daughter In Law","Chapter 48","https://www.manganato.gg/manga/the-archvillain-s-daughter-in-law/chapter-48"
290,"Astral Pet Store","Chapter 130","https://www.manganato.gg/manga/astral-pet-store/chapter-130"
29554,"Broadcast Genius, Youngest Writer","Chapter 24","https://www.manganato.gg/manga/broadcast-genius-youngest-writer/chapter-24"
49563,"Dao Of The Bizarre Immortal","Chapter 21","https://www.manganato.gg/manga/dao-of-the-bizarre-immortal/chapter-21"
40748,"An Old Man From The Countryside Becomes A Swords Saint: I Was Just A Rural Sword Teacher, But My Successful Students Won't Leave Me Alone!","Chapter 21.5","https://www.manganato.gg/manga/an-old-man-from-the-countryside-becomes-a-swords-saint-i-was-just-a-rural-sword-teacher-but-my-successful-students-won-t-leave-me-alone/chapter-21-5"
28926,"Max Level Player","Chapter 44","https://www.manganato.gg/manga/max-level-player/chapter-44"
32351,"The Story Of Thorny Spear","Chapter 83","https://www.manganato.gg/manga/the-story-of-thorny-spear/chapter-83"
34905,"Home Plate Villain","Chapter 67","https://www.manganato.gg/manga/home-plate-villain/chapter-67"
30668,"The Legendary Hunter Becomes Young Again","Chapter 15","https://www.manganato.gg/manga/the-legendary-hunter-becomes-young-again/chapter-15"
31924,"Tensei Shitara Dai Nana Ouji Dattanode, Kimamani Majutsu O Kiwamemasu","Chapter 72","https://www.manganato.gg/manga/tensei-shitara-dai-nana-ouji-dattanode-kimamani-majutsu-o-kiwamemasu/chapter-72"
43993,"Return Of The Mad Demon","Chapter 119","https://www.manganato.gg/manga/return-of-the-mad-demon/chapter-119"
35,"I am with the music immortals","Chapter 70","https://www.manganato.gg/manga/i-am-with-the-music-immortals/chapter-70"
44316,"Dungeon Odyssey","Chapter 69","https://www.manganato.gg/manga/dungeon-odyssey/chapter-69"
5,"2.5D Seduction","Chapter 178.5","https://www.manganato.gg/manga/2-5d-seduction/chapter-178-5"
44004,"Return Of The Frozen Player","Chapter 85","https://www.manganato.gg/manga/return-of-the-frozen-player/chapter-85"
16451,"Standard Of Reincarnation","Chapter 121","https://www.manganato.gg/manga/standard-of-reincarnation/chapter-121"
1000,"Overgeared","Chapter 222","https://www.manganato.gg/manga/overgeared/chapter-222"
10301,"Surviving As An Illegitimate Princess","Chapter 32.5","https://www.manganato.gg/manga/surviving-as-an-illegitimate-princess/chapter-32-5"
209,"Forging an Industrial Empire in a Magical World","Chapter 20","https://www.manganato.gg/manga/forging-an-industrial-empire-in-a-magical-world/chapter-20"
207,"Beatrice","Chapter 109","https://www.manganato.gg/manga/beatrice/chapter-109"
