title,md_id,markable,marked,missing
Revolutionary Restart for the Blue Rose Princess,5ce9b650-fa46-4851-909d-4aacf2e1df1f,0,0,unknown
Issak,680c9fa4-1c12-4838-97c2-765cba78374c,0,0,unknown
Heroic Chronicles of the Three Continents,69b96982-259f-46e9-a558-438d616b7996,0,0,unknown
Kono Subarashii Sekai ni Shukufuku wo! - CHOYQUZU! (Doujinshi),6a9c055d-aa00-4121-8ae2-f4ea7d2e0850,0,0,1
The Zenith,5a12b52c-7b57-47ef-99ce-18cd4633722c,0,0,unknown
The Isekai Returnee is Too OP for the Modern World,69dcebee-7446-4eb2-8244-d903f12a6712,0,0,unknown
My Gently Raised Beast,6a9baffb-505e-49c1-9b28-94521fdd5b2b,0,0,unknown
Legend,5f73422e-e47c-41a1-8b5d-96ba13498cfe,0,0,104
Tokyo卍Revengers,59b36734-f2d6-46d7-97c0-06cfd2380852,0,0,unknown
Goblin Slayer,67a7dfd1-a39d-46c8-8ff2-9a24a9abaeb6,0,0,unknown
Nise Seiken Monogatari - Osananajimi no Seijo o Uttara Michizure ni Sareta,6251f857-38ca-46c5-8a6c-5dd495810552,20,0,2
Living as an Emperor's Fiancée,58d037b5-7215-4ab1-9b42-28b4c450093b,0,0,unknown
Strongest Fighter,5d1c5f11-f531-4405-ac12-77293af855bd,0,0,19
Is this Hunter for Real?,668a08b5-7e46-4ce1-9dc5-56a816e6cfb4,0,0,unknown
I Learn To Cultivate In The World of Superpower,5a7b6f37-80a8-4f76-b5d5-6c1ec079f144,13,0,10
Maiko-san Chi no Makanai-san,62608082-d81d-4513-af7d-ae3ffe2423d2,0,0,1
Eldias Lord,5f0ac9d3-ea89-4ebe-a66f-4fd4774c8b1a,0,0,unknown
Sekai de Tada Hitori no Mamonotsukai: Tenshoku shitara Maou ni Machigawaremashita,66f1298e-68c0-4cc8-9a9d-640104092bf5,0,0,unknown
Akuyaku Onzoushi no Kanchigai Seija Seikatsu ~Nidome no Jinsei wa Yaritai Houdai Shitai Dake na no ni~,5ed171d9-d5e0-47e0-b847-493cdda9db29,18,0,1
Vinland Saga,5d1fc77e-706a-4fc5-bea8-486c9be0145d,0,0,unknown
EDEN,61cb55bb-03e1-4496-9bd4-460c2c7143b4,0,0,unknown
"Senki to Yobareta Otoko, Ouke ni Ansatsu Saretara Musume wo Hiroi, Issho ni Slow Life wo Hajimeru",67780f54-1760-4bc8-998f-268868e668e9,24,0,1
I Log in Alone,6834368f-66b8-4fac-a03a-09ecb625f256,0,0,unknown
"Uchi no Ojou-sama ga Hametsu End shika nai Akuyaku Reijou no you na no de, Ore ga Kyuusei shitai to Omoimasu",5befd020-cd2d-49c4-a2cc-a2d6d9c8212b,0,0,unknown
"Watashi, Nouryoku wa Heikinchi de tte Itta yo ne!",5f709f1b-e481-4e73-86d8-92369545d6f4,0,0,unknown
Kemono Michi,6a80c457-cea3-49a5-9a60-0ee0e5ad4cb5,0,0,21
Angel or Villainess,590ce306-df89-4cec-94c3-886d01422174,0,0,26
Peerless Dad,62c802ff-25ce-4b1c-aa94-55251c84ed0c,0,0,unknown
"Gokufuri Kyohi Shite Tesaguri Start! Tokka Shinai Healer, Nakama to Wakarete Tabi ni Deru",6a7c117a-a473-4a93-903b-34189c4261c8,21,0,3
The Tutorial Is Too Tough!,5c0a6150-502b-4d88-a46e-50b83768fe8f,0,0,unknown
I Became a Legend after My 10 Year-Long Last Stand,66f42f5f-bcb7-437b-9ae5-752c84bce709,0,0,unknown
All-Rounder Meguru,5c1bf86e-84fc-45db-b52d-d63e5f10db34,0,0,unknown
A Returner's Magic Should Be Special,6a468761-5bd6-4de0-a0cb-47cb456ac2e0,0,0,unknown
Seirei Tsukai no Blade Dance,6607171a-7d84-4776-9fc4-3bfee8794e8c,18,0,1
